playlist_id,track_uri
0,09EwNbGvUyu7BDEYG0cJro
0,2Mb3zpobD0CvJGWv6NpsPy
0,5Ufv8Cu0pVxFNesgDJNnty
0,60uesDF4UyLUs61FgiDkdp
0,6YYd5MLpu45J0uLrMdivF7
0,0OvwzS8FX73Bw7ykMRmffU
0,7lVNTXkI3cHFvcXiI8damb
0,1wI3UvluGGKUeFeVFsP9do
0,7tjbm60E0t7SerbiG61cce
0,5y4TDQdYzlT4eoQIPOgNDz
0,0ahRDzkKq0KEi7FRoHb0qk
0,06iMqWThw4w8fTFyccvOwr
0,4INDiWSKvqSKDEu7mh8HFz
0,5HEjbOF2miSnhwJX41mXZJ
0,1zyqZONW985Cs4osz9wlsu
0,1Dx8rIZaXzZPvUQRF2j9hB
0,0lO0xSw62LSlf4ylBhPB71
0,1m2xMsxbtxv21Brome189p
0,16TcsLUp9nAKFq2C9Mvk5G
0,1aWV3uY3SIEZVbmv45oFWS
0,1yy2DlSDtEt90d54rPDPXz
0,6iajHa34cSiD5s42Cq9miJ
0,4OhkKmvhjl3yk7JF422GWB
0,2qOm7ukLyHUXWyR4ZWLwxA
0,1Jm1I3APcmVz3MqPr5vfTx
0,2MFX2E3TErub7JW8uDPpXZ
0,4jnFqNWeJCeCRHc4HCdxfd
0,6tBD4yjOf9P8rWwUlXdJFm
0,3jDdpx9PMlfMBS5tOBHFm9
0,3IrkbGQCoEPAkzJ0Tkv8nm
0,0zLMsK6UeAP4KrbekFbHvC
0,4C1F2wkwri8EVTKoB24PbW
0,4XmsMIMjvDIFEjeY3ycMzW
0,1kPBHRXyXdrtYfUfeRwBko
0,6sHsXIJoEN5JpdkGMQDJxt
0,6N9uyMZf9pbNOuomveWscp
0,5Erc0rv16PU4Z5Zt16kGQe
0,5KSJ9k1FYjFLnIRlJT2wF8
1,4hHbeIIKO5Y5uLyIEbY9Gn
1,1hSlBR0fAUCyB7jNtztE1s
1,0RKWU3hF0xNGS5RJXAtzF5
1,2y8Eez5cFFf2JzD546LThM
1,4pV1bl7OiFW4mMNLmsgQGC
1,17bBNcLyMBDayQskHJX29T
1,40tAOP3DPqmVD6L1h45Jp6
1,70oCQbSwh1a2iY08n3WfoD
